"Structure [idcode]","Molecule Name","cas.rn","molecular.formula","molecular.weight","Dataset Name","Ref","Ref 2","BBDD","CSD","Code","Calculations","cas.index.name"
"fj}@a@NQAxL|LdbRdRTRJTrIQr_AjVjjiVjh@@ !BQY|WGA@j_|GGlyX?@O{}bFLWgsjp{^m[@h`BbHf?po\@?ovHINomcp","6,6-Bis(3,4-dimethyl-1H-phosphol-1-yl)tetrahydro-2H-pyran-2-one","845789-54-0","C17H22O2P2","320.30","substituted bridge","https://www.sciencedirect.com/science/article/abs/pii/S0022328X04007624?via%3Dihub","Journal of Organometallic Chemistry (2005), 690(2), 450-453","","0 structures","DS-38","Opt, SPE, NoRh","2H-Pyran-2-one, 6,6-bis(3,4-dimethyl-1H-phosphol-1-yl)tetrahydro-"
"ffc@A@@^@oCIHhhddeEmJdkq`ekT@PAP@@A@Q@@ !B?g~H@k\BbGvw_Xa}?`Bw__y??g~H@h`BmpK~_{]}?`C~@K]}mpJw@k]}","[(Diphenylphosphino)methyl]methylphenylphosphine","62263-65-4","C20H20P2","322.32","methylene bridge","-<NL>https://pubs.acs.org/doi/abs/10.1021/ic50173a038","Chemische Berichte (1979), 112(4), 1093-5<NL>Inorganic Chemistry (1977), 16(7), 1770-6","","WASJUZ (not monochelated)","MB-39","Opt, SPE, NoRh",""
"ffu`A@J@|B^FRQQIQQIHiHjjjjjjjh@@ !BmpK~_x`Bmww~@Ha}bGvw@oy?mpJH@oy?b@Jw_[]}bGvH_[\B?g~w_[]}","1,1-Bis(dibutylphosphino)-N,N-dimethylmethanamine","40207-90-7","C19H43NP2","347.50","substituted bridge","https://www.sciencedirect.com/science/article/abs/pii/S0022328X0088331X","Journal of Organometallic Chemistry (1972), 46(2), 297-304","","0 structures","MS-77","Opt, SPE, NoRh","Methanamine, 1,1-bis(dibutylphosphino)-N,N-dimethyl-"
"ffu`Q@NPPkPOAgaddRTRTTJRRRjjjjjjj@@ !Bb@K~_{\BbGvH__x@mwvH@oy?b@Jw@k\B?g?~@Ox@mwvw_X`BmpJw@oy?","Phosphonous acid, [(dipropylamino)methylene]bis-, tetraethyl ester","137929-33-0","C15H35NO4P2","355.39","substituted bridge","https://onlinelibrary.wiley.com/doi/10.1002/hc.20552","Heteroatom Chemistry (2009), 20(6), 319-324","","0 structures","MS-78","Opt, SPE, NoRh","Phosphonous acid, [(dipropylamino)methylene]bis-, tetraethyl ester"
"ff}@A@@^@oAJfYeUoymAmFh@d@hJh@@@ !Bb@JRS{\BbGw~@AOg@EFw__x@b@JH@iIOdd~w@oy??`@@T_x@mwvH_[]}","[1-[Bis(1-methylethyl)phosphino]ethenyl]diphenylphosphine","686353-33-3","C20H26P2","328.37","monosubstituted","https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/ejoc.200300683","European Journal of Organic Chemistry (2004), (5), 1043-1048","","0 structures","DS-3","Opt, SPE, NoRh<NL>",""
"ff}@A@@^GOCIHiEEXdiEHdJQZuUUUUUUTPDPaJR@@ !Blb}N`M~Ylb|ocUBrb@KOtovH?`BH?VU`wzX@?ox@_?{}mxa}@hc_ifU`","(1R,2S,3aS,7aS)-1-[Bis(1,1-dimethylethyl)phosphino]-2-(1,1-dimethylethyl)octa...","1260434-21-6","C20H40P2","342.48","monosubstituted C-bridge","https://pubs.rsc.org/en/content/articlelanding/2010/cc/c0cc02620d","Chem. Commun., 2010,46, 8555-8557","","0 structures","MS-6","Opt, SPE, NoRh",""
"ff}AA@E@|I^FRQQRJIV[RJPbc^jBj`hjja@Ia@@ !BUKoLVL?M?[\@?b_LsEaXt{\BSk|BmpJwm?w~@@C~?Xbw?PJw_?{~@@C~","(2S,3R)-2-[Bis(1,1-dimethylethyl)phosphino]-3-(1,1-dimethylethyl)-2,3-dihydro...","1215081-29-0","C19H32OP2","338.41","substituted bridge","https://pubs.acs.org/doi/10.1021/ol1000999","Organic Letters (2010), 12(5), 1104-1107","","0 structures","MS-79","Opt, SPE, NoRh","1,3-Benzoxaphosphole, 2-[bis(1,1-dimethylethyl)phosphino]-3-(1,1-dimethylethyl)-2,3-dihydro-, (2S,3R)-"
"fnc@A@@^@oAJfYUV_iiWcAj@H@hJj`@@ !BmpK~_x`B?`Bw_Xa}mwvH_[\BmpK~_?y?b@K~_{]}mww|mx`B_Xa??oy?@Ox","Bis(1,1-dimethylethyl)[(diphenylphosphino)methyl]phosphine","74512-04-2","C21H30P2","344.41","methylene bridge","https://pubs.acs.org/doi/10.1021/om200715w<NL>https://pubs.rsc.org/en/content/articlelanding/2003/nj/b210114a<NL>https://pubs.acs.org/doi/10.1021/om000097y<NL>-<NL>https://pubs.acs.org/doi/abs/10.1021/ic50212a079","Organometallics (2012), 31(1), 207-224<NL>New Journal of Chemistry (2003), 27(3), 540-550<NL>Organometallics (2000), 19(25), 5533-5536<NL>Chemische Berichte (1984), 117(3), 1103-12<NL>Inorganic Chemistry (1980), 19(10), 3195-8","","MAQNUP, MAQPIF, MAQQEC (Ni)","MB-40","Opt, SPE, NoRh",""
"fnc@A@@^@oCIHhhddeElbde^LFh@`B`jj@@@ !B?X`@?ovw_?xBb@JH@k]??ovH?X`@?`C~?[_}b@JH@k\Bmw?~?[_}b@Jw_?x","Dibutyl[(diphenylphosphino)methyl]phosphine","68861-73-4","C21H30P2","344.41","methylene bridge","-","Tetrahedron Letters (1978), (30), 2689-92","","0 structures","MB-41","Opt, SPE, NoRh",""
"fnc@A@@^Bo@hbDbDbDFDaHQDQLSTkZjjjjjjj`@@ !Bb@K~_{\B?K^H@gvH_?{~_pC~mwvw@oy??`Bw_Xa}mwvw@k\B?g?~_{]}mwt","[[Bis(1,1-dimethylethyl)phosphino]methyl]dicyclohexylphosphine","185537-55-7","C21H42P2","356.51","methylene bridge","https://pubs.acs.org/doi/10.1021/ja211649a<NL>https://pubs.acs.org/doi/10.1021/om200715w<NL>https://www.thieme-connect.de/products/ebooks/lookinside/10.1055/sos-SD-042-00106<NL>-","Journal of the American Chemical Society (2012), 134(10), 4885-4897<NL>Organometallics (2012), 31(1), 207-224<NL>Science of Synthesis (2009), 42, 109-154<NL>New Journal of Chemistry (2003), 27(3), 540-550<NL>Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry (1999), (11), 1867-1876","","MAQNAV (Ni), WAQWES (Rh)","MB-42","Opt, SPE, NoRh",""
"fnc@a@HFAx\|LdbTRbRarfbQtzkZhJ`h`h@@@@ !B?g~H?K_|bOvH?_x@m?w~_x`BbOrH@oy?m?s~@K_}?`Bw?_y?mpJw@k_|m?t","Phosphinous acid, methylenebis[phenyl-, bis(1-methylethyl) ester","70589-73-0","C19H26O2P2","348.36","methylene bridge","-<NL>-","Chemische Berichte (1986), 119(9), 2832-42<NL>Zhurnal Obshchei Khimii (1979), 49(3), 712-13","","0 structures","MB-43","Opt, SPE, NoRh",""
"fncPA@HmAxL|DjYUY^WWyVsVhJBhB`b@@@ !B@ha??`Jw?X`@?ovw@OxBbOrH_?{|m?rw@O{}bOvw?[\@?g?~_?{|m?vw?[\","1-Propanamine, 3,3′-[methylenebis(phenylphosphinidene)]bis-","180676-97-5","C19H28N2P2","346.39","methylene bridge","https://academic.oup.com/bcsj/article/69/7/1947/7349613?login=true","Bulletin of the Chemical Society of Japan (1996), 69(7), 1947-1953","","0 structures","MB-44","Opt, SPE, NoRh",""
"fnm@A`@^AOBc`qp|xA\BbHQDRDbDbDPXaHbjjjjjjj@@ !B_X`@?gvw_?xBb@Jw_Xa}mpJHmpJH_PJwmwvH@`JH_?xBbK\BbGu??oy??`@","2,2,8,8-Tetramethyl-4,6-bis[(trimethylsilyl)methyl]-4,6-diphospha-2,8-disilan...","87648-07-5","C17H46P2Si4","424.84","methylene bridge","-","Zeitschrift fuer Naturforschung, Teil B: Anorganische Chemie, Organische Chemie (1983), 38B(8), 1027-30","","0 structures","MB-45","Opt, SPE, NoRh",""
"fnm@Q`HHlxG`QphxL|ON@W@hbDQDbDbD`TRHRHjjjjjjj`@@ !B@Oy}mwvH@h`Bmw?~@hbH_[\B@k^w_X`B_Xa}mpJH_?xBbK\BbGu??oy??`@","","2247645-07-2","C13H38O4P2Si4","432.73","methylene bridge","https://pubs.acs.org/doi/10.1021/acs.jmedchem.8b00932","Journal of Medicinal Chemistry (2018), 61(19), 8774-8796","","0 structures","MB-46","Opt, SPE, NoRh",""
"fnm@a@JLAxD|LdbdRTRRRRJRjjjjjjj`@@ !BmpJH@oy?mpHBbGvwbGvH__x@mwu}b@Jwb@K~_{\BmpHBbGvw?`Bw_WvH@k\","Phosphine, (dipropoxymethylene)bis[dipropyl-","120345-14-4","C19H42O2P2","364.48","substituted bridge","https://onlinelibrary.wiley.com/doi/10.1002/hc.21024","Heteroatom Chemistry (2012), 23(4), 352-372","","0 structures","DS-39","Opt, SPE, NoRh","Phosphine, (dipropoxymethylene)bis[dipropyl-"
"fnm@q@HHMYw`^COCIHdhhhhhueEJjjjijjh@@ !B?`BH_[]}b@JH_[\B?g?~@Ha}b@K~_?x@mwvw_Xa}mpJw__y??`Bw_[\B?g|","Methyl 2,2-bis[bis(1-methylethoxy)phosphino]acetate","59356-32-0","C15H32O6P2","370.36","monosubstituted C-bridge","-","Zhurnal Obshchei Khimii (1976), 46(3), 571-5","","0 structures","MS-8","Opt, SPE, NoRh",""
"fnmAA@J@|B^FRQRIJKIIIIUUUUUUUUP@@ !BbGvw__x@bGtBbGvwmpJw@h`B?g|@?k]}?`BH_Xa}@hbw@k\Bb@K~_xa}bGt","Phosphine, (1-ethoxyethylidene)bis[dibutyl-","126129-13-3","C20H44OP2","362.51","substituted bridge","https://onlinelibrary.wiley.com/doi/10.1002/hc.21024","Heteroatom Chemistry (2012), 23(4), 352-372","","0 structures","DS-40","Opt, SPE, NoRh","Phosphine, (1-ethoxyethylidene)bis[dibutyl-"
"fnmHA@HHlxG`KprRJJIIIQqQIJjjjjjjj@@ !Bdd~H@k\B@EDSy?x@bGvw_YIOdd~H@h`BmpJmS{]}?`A?TVsgmpJw@juOkT|","Phosphonous diamide, P,P′-methylenebis[N,N,N′,N′-tetraethyl-","64151-43-5","C17H42N4P2","364.49","methylene bridge","","8 references","","0 structures","MB-47","Opt, SPE, NoRh",""
"fns@A@@^@oCIHhhddeEmDUe^LFkZ`B@J@H@B@b@@ !B?g~H@k\BbOvw?Xc}?`Bw?_y??g~H@h`BmpK~_{_}?`Bw?_x@m?vw@k\B?`@","[(Diphenylphosphino)methyl]ethylphenylphosphine","62263-68-7","C21H22P2","336.35","methylene bridge","https://pubs.acs.org/doi/abs/10.1021/ic50173a038","Inorganic Chemistry (1977), 16(7), 1770-6","","0 structures","MB-48","Opt, SPE, NoRh",""
"fns@A@@^@oCIHhhemCEDdebLSTkZfZj`@@B@@@ !BLXCOsXc}wzZDUBnDf]~H@lwPosFH?YHpb@K~_qOh@BzH?Xc}dcBRLOy?@Bx","1-[(Diphenylphosphino)methyl]-2,3,4,5-tetramethyl-1H-phosphole","1356412-27-5","C21H24P2","338.36","methylene bridge","https://pubs.acs.org/doi/10.1021/om2008265","Organometallics (2012), 31(3), 857-869","","0 structures","MB-49","Opt, SPE, NoRh",""
"fnsAA@L`|A^FRQQQIIJKZHkJ|XMVu@D@T@P@DAD@@ !B?g~H@k\BbOvw?Xc}?`Bw?_y??g~H@h`BmpK~_{_}?`Bw?_x@m?vw@k\B?`@","1-[[(Diphenylphosphino)methyl]phenylphosphino]methanol","2756981-75-4","C20H20OP2","338.32","methylene bridge","https://pubs.acs.org/doi/10.1021/acs.inorgchem.1c03278","Inorganic Chemistry (2022), 61(2), 1102-1117","","0 structures","MB-50","Opt, SPE, NoRh",""
"fn{pA@JLxCpIxYIEDeEEhiTdlqWM\LfiVuUUU@@@EP@@@ !BWsgxbr[pmwwxfObX~Ibw@oy?~Hlf|B[pmww~@K]}bGvw@k\B?g?~_?x@bGt","6-(Diphenylphosphino)-1,3,5-triaza-7-phosphatricyclo[3.3.1.13,7]decane","909292-00-8","C18H21N3P2","341.33","substituted bridge","https://pubs.acs.org/doi/10.1021/acs.joc.0c02586<NL>https://pubs.acs.org/doi/10.1021/ic060576a","Journal of Organic Chemistry (2021), 86(13), 8556-8562<NL>Inorganic Chemistry (2006), 45(17), 6748-6755","","CEMRES (W), CEMRIW (Mo), CEMRAO (free)","MS-80","Opt, SPE, NoRh","1,3,5-Triaza-7-phosphatricyclo[3.3.1.13,7]decane, 6-(diphenylphosphino)-"
"fak@A@@^@oCIHhhddeEmEBbkq`m{T@PAPAP@DAT@@ !B@k_h[G?~@Oy}muD@LJu}b@Jw@k_h[Nal_?xBbGvwLJu}mwvH@Oy}bG?~_?y}b@","[(Diphenylphosphino)methyl](1-methylethyl)phenylphosphine","62263-66-5","C22H24P2","350.37","methylene bridge","https://pubs.acs.org/doi/abs/10.1021/ic50173a038","Inorganic Chemistry (1977), 16(7), 1770-6","","0 structures","MB-51","Opt, SPE, NoRh",""
"fas@a@EZAxR|LdbbdTTUfVdTeEVcTEUPUEUTH@lP@ !BJ{oSVMCM_?xBmr_SVLsSVH`BL[}}bGvw_[^H__x@_?xBmwvwbOtBb@C~?`A??`","(2R,3S)-2-[Bis(1,1-dimethylethyl)phosphino]-3-(1,1-dimethylethyl)-2,3-dihydro...","2828431-92-9","C20H34O2P2","368.43","substituted bridge","https://pubs.acs.org/doi/10.1021/ol1000999","Organic Letters (2010), 12(5), 1104-1107","","PARMAY (Rh), DORLON, DORLON01 (Pd, monooxide)","MS-81","Opt, SPE, NoRh","1,3-Benzoxaphosphole, 2-[bis(1,1-dimethylethyl)phosphino]-3-(1,1-dimethylethyl)-2,3-dihydro-4-methoxy-, (2R,3S)-"
"fa{@A@@^COCIHhhdeChiddmpRkY[WmPUAP@@@PB@QD@@ !BUHR?Sj[_pIeeXOvHs\~w?URDUHQ??`JHYVC}bOvw@O{}bG?~_?{|b@JH?[_}b@","(1S,2S)-2-(Diphenylphosphino)-1-phenylphospholane","168395-83-3","C22H22P2","348.36","monosubstituted C-bridge","https://pubs.acs.org/doi/abs/10.1021/ja00136a005","Journal of the American Chemical Society (1995), 117(31), 8083-9","","PIDDAH (free ligand)","MS-9","Opt, SPE, NoRh",""
"fa{@a@NIAxL|LdbRdRTRaRRRqJV\FI^uKUUPJaQT@@@ !BaBnw?Tz@s\~fww?~LXC@fPJwJ{mSYuLXtMHBb@JwGqh_YZ[@@Ox@?f]SYrpBmp","3,3-Bis(3,4-dimethyl-1H-phosphol-1-yl)-1(3H)-isobenzofuranone","845789-47-1","C20H20O2P2","354.32","substituted bridge","https://www.sciencedirect.com/science/article/abs/pii/S0022328X04007624?via%3Dihub","Journal of Organometallic Chemistry (2005), 690(2), 450-453","","GAMJEK (bimetallic)","DS-41","Opt, SPE, NoRh","1(3H)-Isobenzofuranone, 3,3-bis(3,4-dimethyl-1H-phosphol-1-yl)-"
"fa}`Q`NPP{pO@caQpYxA\HnAQDHbPdPdPdRbQBQEUUUUUUU@@@ !BiRg~Jeji?jtUE`Al?eWrNQWi?otUZ_{|EQYZj_xjZaXUy`iY?bhR~aTY?opUy`","","1641610-80-1","C13H39NO4P2Si4","447.74","substituted bridge","https://link.springer.com/article/10.1134/S1070363215020048<NL>https://onlinelibrary.wiley.com/doi/10.1002/hc.21220","Russian Journal of General Chemistry (2015), 85(2), 370-379<NL>Heteroatom Chemistry (2015), 26(1), 101-105","","0 structures","MS-82","Opt, SPE, NoRh","Not Yet Assigned"
"ficHABHHdTG`KpeI^JHaHRDaHRDaHRDVDbjjfjjjZh@G|PdP !B?g~H@k\BD~^H?_x@H@U?T_x@dd}?Koy?bOrw?Hc|^e~diAOhjS?~@G}QdcAoUWbK","P-[[Bis(1-methylethyl)phosphino]diazomethyl]-N,N,N′,N′-tetrakis(1-methylethyl...","927702-97-4","C19H42N4P2","388.51","substituted bridge","https://pubs.acs.org/doi/10.1021/ja066738j","Journal of the American Chemical Society (2007), 129(4), 978-985","","0 structures","DS-42","Opt, SPE, NoRh","Phosphonous diamide, P-[[bis(1-methylethyl)phosphino]diazomethyl]-N,N,N′,N′-tetrakis(1-methylethyl)-"
"fic`Q`NPQxHO@caQpYxQ\DnAQDHbQBQBQBPjIDIDUUUUUUUU@@@ !Bx`W~_NtEPcj}voy?{_gm^apU?gpt|cte?ob}Nauyxog~@tHz{EV}q_{{GAW~_CSr","P,P,P′,P′-Tetrakis(trimethylsilyl) P,P′-(1-aminoethylidene)bis[phosphonite]","1606176-14-0","C14H41NO4P2Si4","461.77","substituted bridge","https://link.springer.com/article/10.1134/S1070363215020048<NL>https://onlinelibrary.wiley.com/doi/10.1002/hc.21220<NL>https://link.springer.com/article/10.1134/S1070363214030335","Russian Journal of General Chemistry (2015), 85(2), 370-379<NL>Heteroatom Chemistry (2015), 26(1), 101-105<NL>Russian Journal of General Chemistry (2014), 84(3), 605-607","","0 structures","DS-43","Opt, SPE, NoRh","Phosphonous acid, P,P′-(1-aminoethylidene)bis-, P,P,P′,P′-tetrakis(trimethylsilyl) ester"
"figPA@HHAxB|LdbbbRRT\TRRVdkQb}ZNjjeV`@@B`@@ !BzFpBmw?~o`C`E\wO`CG}bFAZsEbDJz[_K`A??n]lLIK}bOvwK`@n@G?~_?xpdgvw","1H-Pyrrole, 1,1′-[[(diphenylphosphino)methyl]phosphinidene]bis-","623561-06-8","C21H20N2P2","362.35","methylene bridge","https://pubs.acs.org/doi/10.1021/ic034487z<NL>https://comptes-rendus.academie-sciences.fr/chimie/articles/10.1016/j.crci.2005.08.002/","Comptes Rendus Chimie (2006), 9(1), 111-119<NL>Inorganic Chemistry (2003), 42(22), 7227-7238","","IMALEN, IMALOX (Pd)","MB-52","Opt, SPE, NoRh",""
"fik@@`@^COCc`eprRJIIJJQZIiRJWbcjB`jhBBh@@@ !B@k]??`JH_[\@?gvH@OxBmpJw_?xBb@C~?`C~_pC~_Xa}mwvH_?y??gvHb@Jw_Wvw","2,2,8,8-Tetramethyl-4,6-diphenyl-4,6-diphospha-2,8-disilanonane","1159248-32-4","C21H34P2Si2","404.61","methylene bridge","https://www.tandfonline.com/doi/full/10.1080/10426507.2019.1631310<NL>https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/chem.201303729<NL>https://pubs.rsc.org/en/content/articlelanding/2013/dt/c3dt51433a<NL>https://onlinelibrary.wiley.com/doi/10.1002/anie.200806012","Phosphorus, Sulfur and Silicon and the Related Elements (2019), 194(10), 967-971<NL>Chemistry - A European Journal (2014), 20(6), 1577-1596<NL>Dalton Transactions (2013), 42(45), 15941-15952<NL>Angewandte Chemie, International Edition (2009), 48(12), 2157-2161","","0 structures","MB-53","Opt, SPE, NoRh",""
"fik@a@IFAxB|DjYeeeewfteqZ`B``jHj`@@ !B^bBH?[_}HGj[iOy?b@Jw@jR[^bAzHK_}bOvH?_x@m?t`^ind?g~H?K_|bOs~_{\B","Phosphine, [[bis(2-methoxyphenyl)phosphino]methyl]bis(1-methylethyl)-","1818246-61-5","C21H30O2P2","376.41","methylene bridge","https://onlinelibrary.wiley.com/doi/10.1002/anie.201503208","Angewandte Chemie, International Edition (2015), 54(29), 8520-8524","","AJINAK (Rh)","MB-54","Opt, SPE, NoRh",""
"fikPA@HVAxB|LdbbbRRTNbfRQM{hzjBhJJB`@@@ !BbOvRLK_}b@K~_p@nD~bw@hc}bOvRLIHpm?vmLAOh?g~w@g|n[Nbw?[_}kSBmLFsh","P,P′-Methylenebis[N,N-diethyl-P-phenylphosphinous amide]","103457-49-4","C21H32N2P2","374.44","methylene bridge","-","Chemische Berichte (1986), 119(9), 2832-42","","0 structures","MB-55","Opt, SPE, NoRh",""
"fio@A@@^GOCIHiEdeEEiFdhiVTyWbmkvhzjjjjjjjjjd@WH@ !BqzKXhoyOAwu?_ixpvIv[tioRf}KXhoyO_wz^LIxp^Gt@_jDpiMJdtjSR@GzaLJDp","Phosphine, methylenebis[methyltricyclo[3.3.1.13,7]dec-1-yl-, (1R,1′R)-","450372-86-8","C23H38P2","376.50","methylene bridge","https://onlinelibrary.wiley.com/doi/10.1002/chir.10099","Chirality (2002), 14(5), 386-392","","0 structures","MB-56","Opt, SPE, SPE_NoRh",""
"fi{@A@@^@oAJfYYUf_f}AmeHz`B@B`Bj@H@h@@ !BbOvRLK_}?g~H@`@nD~bw@hc}m?vH?YHpdcBw?_x@b@K~_?y?D~c~_{\Bb@Jw@k_}","","2425655-02-1","C23H28P2","366.42","methylene bridge","https://pubs.acs.org/doi/10.1021/acs.organomet.0c00283","Organometallics (2020), 39(13), 2511-2525","","0 structures","MB-57","Opt, SPE, SPE_NoRh",""
"fi{@A@@^@oAJfY[nUVYz\CuHzjj@J@JhHDPbH@ !BYrpXKOy?GvTZXH@NYVBH_[mTf]?LI{IP?g~H@a}eGvV@Ch@NmwvH_Xa}?`BYw{IP","(2R,5R)-1-[[Bis(1-methylethyl)phosphino]methyl]-2,5-diphenylphospholane","1789705-57-2","C23H32P2","370.45","methylene bridge","https://pubs.rsc.org/en/content/articlelanding/2015/cc/c5cc03517a","Chemical Communications (Cambridge, United Kingdom) (2015), 51(50), 10206-10209","","0 structures","MB-58","Opt, SPE, NoRh",""
"fi{@A@@^@oCIHhhddeEmEHUU^LGhz`B@J@J`@HBP@ !Bb@K~_{\B?`BH?[_}bOvw?X`Bb@K~_?y?mpK~_xc}bOw~@K_}_?{~_pC~mpJw@k_}","","3032525-42-8","C23H26P2","364.40","methylene bridge","https://pubs.acs.org/doi/10.1021/acs.joc.3c01753","Journal of Organic Chemistry (2023), 88(24), 16679-16706","","0 structures","MB-59","Opt, SPE, NoRh",""
"fek@A@@^Bo@hbDbDbD`XRDbDbDaAGNjjjjBjh`@@@ !BHGk}m?vHHGhEHGi_mpK}mxa}?Ha??bAz?Xc}m?vHAR@`^gi_m?w}bH`B_?xBmw?~?X`","Phosphine, [(2-methylphenyl)methylene]bis[bis(1,1-dimethylethyl)-","220287-08-1","C24H44P2","394.55","monosubstituted C-bridge","https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/cssc.201301397","ChemSusChem (2014), 7(7), 1984-1990<NL>Patent<NL>Patent","","0 structures","MS-10","Opt, SPE, NoRh",""
"fes`Q@NPPkPOAgaddRTRTTRRJRJRjjjjjjjj`@@ !B?g~H@k\BbGvH_[]}?`C~_x`B?g~w@h`BmpJH_Xa}mwvw__y?b@K~_{\Bmwvw__y?mpH","Phosphonous acid, [(dimethylamino)methylene]-, tetrabutyl ester","126708-33-6","C19H43NO4P2","411.50","substituted bridge","https://onlinelibrary.wiley.com/doi/10.1002/hc.20552","Heteroatom Chemistry (2009), 20(6), 319-324","","0 structures","MS-83","Opt, SPE, NoRh","Phosphonous acid, [(dimethylamino)methylene]-, tetrabutyl ester"
"fes`Q`NPP{pO@caQpYxI\LnAQDHbPdPdPdI@hTPdQUUUUUUUU@@@ !B_[]}b@C~_?xBb@Jw@ha??oy??`@BbHa}mpI}mpC~_X`@?`Jw@h`Bm{]}b@HBbK\BbGt","P,P,P′,P′-Tetrakis(trimethylsilyl) P,P′-[(dimethylamino)methylene]bis[phospho...","1448002-75-2","C15H43NO4P2Si4","475.80","substituted bridge","https://link.springer.com/article/10.1134/S1070363215020048<NL>https://link.springer.com/article/10.1134/S1070363213060340<NL>https://onlinelibrary.wiley.com/doi/10.1002/hc.21100","Russian Journal of General Chemistry (2015), 85(2), 370-379<NL>Russian Journal of General Chemistry (2013), 83(6), 1175-1177<NL>Heteroatom Chemistry (2013), 24(5), 355-360","","0 structures","MS-84","Opt, SPE, NoRh","Phosphonous acid, P,P′-[(dimethylamino)methylene]bis-, P,P,P′,P′-tetrakis(trimethylsilyl) ester"
"fewAA@E@|I^FRQQRJIV[QSIIXbc^jOlz`jhJJjjjJPBXP@ !BwzZDUDz?_[]}bBnDaEQTnxa}s|u??g?~b@K~_wvH?`BH_Xa}mwvH@h`B?g?~_xa}mwt","(2S,3R)-2-(Dicyclohexylphosphino)-3-(1,1-dimethylethyl)-2,3-dihydro-1,3-benzo...","1215081-31-4","C23H36OP2","390.48","substituted bridge","https://pubs.acs.org/doi/10.1021/ol1000999","Organic Letters (2010), 12(5), 1104-1107","","0 structures","MS-85","Opt, SPE, NoRh","1,3-Benzoxaphosphole, 2-(dicyclohexylphosphino)-3-(1,1-dimethylethyl)-2,3-dihydro-, (2S,3R)-"
"fmg@A@@^@oAJfYYYY]zZuEvZ`BHHhbjj@@@ !B@h`Bmw?~@Oy}bGvw@Oy}b@JH@k\Bb@Jw_?xBmpJH_?y}b@C~@Oy}m{\B@hbH__x@_?{~_p","Phosphine, [[bis(1,1-dimethylethyl)phosphino]methyl]bis(2-ethylphenyl)-","1818246-59-1","C25H38P2","400.52","methylene bridge","https://onlinelibrary.wiley.com/doi/10.1002/anie.201503208","Angewandte Chemie, International Edition (2015), 54(29), 8520-8524","","0 structures","MB-60","Opt, SPE, NoRh",""
"fmg@A@@^@oCIHhheEEEEE[EDmY|Vh@bHbhJj`@@ !BmpHPJjuO?`Bw?YY@^Hmly{\Bb@Jw@oy?DBhGmA@jjS|@KjuOm?uxbvsgdcA?TVsgmpHPJ`","[[Bis(1-methylethyl)phosphino]methyl]bis(2,4,6-trimethylphenyl)phosphine","235422-52-3","C25H38P2","400.52","methylene bridge","-","Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry (1999), (11), 1867-1876 ","","0 structures","MB-61","Opt, SPE, NoRh",""
"fmg@a@IFAxB|DjYeeeewikRWEj@JBBhbjh@@@ !B@h`Bmw?~@Oy}bGvw@Oy}b@Jw@h`BbG?~@k\BmpJH_?x@?gvH_[\@?ha}@hbw@ox@_?{~_p","[[Bis(1,1-dimethylethyl)phosphino]methyl]bis(2-methoxyphenyl)phosphine","1818246-58-0","C23H34O2P2","404.46","methylene bridge","https://onlinelibrary.wiley.com/doi/10.1002/anie.201503208","Angewandte Chemie, International Edition (2015), 54(29), 8520-8524","","AJINEO, AJINIS (Rh)","MB-62","Opt, SPE, NoRh",""
"fmg@a@NcAxB|BbHRDaDQDRDsHaHaDEE^LFh@`B`jjj`@@ !Bb@Jw@oy?bOw~@K_}?`BH?X`BbOrw@k_|?g~H@ox@?`@@?oy?_?xBmx`B?XbH?K_|?`Bw?P","Phosphine, [[bis(1,1-dimethylethyl)phosphino]methyl]bis(4-methoxyphenyl)-","1818246-60-4","C23H34O2P2","404.46","methylene bridge","https://onlinelibrary.wiley.com/doi/10.1002/anie.201503208","Angewandte Chemie, International Edition (2015), 54(29), 8520-8524","","0 structures","MB-63","Opt, SPE, NoRh",""
"fmgPA@HiAxB|LdbbbRRTVrLTRRUxpZ`B@JBjjj@@@ !B_?xBb@Jw_[]}bGvH@Ox@?g?~_?xBb@JH@h`Bm?vH@Ox@?gvw@k\BbG?~@k\@?`C~_[]}mp","Diethylamine, N,N′-[[[(diphenylphosphino)methyl]phosphinidene]dimethylene]bis-","2071-22-9","C23H36N2P2","402.49","methylene bridge","-<NL>-","Patent<NL>Helvetica Chimica Acta (1965), 48(5), 1034-9","","0 structures","MB-64","Opt, SPE, NoRh",""
